Copyright 1986-2021 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2021.1 (lin64) Build 3247384 Thu Jun 10 19:36:07 MDT 2021
| Date         : Mon Oct 25 18:49:15 2021
| Host         : simrun-Latitude-5401 running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_timing -sort_by group -max_paths 100 -path_type summary -file timing.log
| Design       : main
| Device       : 7a15t-cpg236
| Speed File   : -1  PRODUCTION 1.23 2018-06-13
-------------------------------------------------------------------------------------------------

Timing Report

Startpoint                     Endpoint                       Slack(ns)     
----------------------------------------------------------------------------
PULSE_10Hz/counter_reg[1]/C    PULSE_10Hz/counter_reg[8]/D    81.374        
PULSE_100Hz/counter_reg[1]/C   PULSE_100Hz/counter_reg[5]/D   81.376        
PULSE_10Hz/counter_reg[1]/C    PULSE_10Hz/counter_reg[5]/D    81.378        
PULSE_100Hz/counter_reg[1]/C   PULSE_100Hz/counter_reg[7]/D   81.397        
PULSE_10Hz/counter_reg[1]/C    PULSE_10Hz/counter_reg[7]/D    81.399        
PWM_LED0/counter_reg[2]/C      PWM_LED0/counter_reg[2]/D      81.417        
PWM_LED0/counter_reg[2]/C      PWM_LED0/counter_reg[3]/D      81.434        
PULSE_100Hz/counter_reg[1]/C   PULSE_100Hz/counter_reg[6]/D   81.471        
PULSE_10Hz/counter_reg[1]/C    PULSE_10Hz/counter_reg[6]/D    81.473        
PULSE_100Hz/counter_reg[1]/C   PULSE_100Hz/counter_reg[4]/D   81.487        
PULSE_10Hz/counter_reg[1]/C    PULSE_10Hz/counter_reg[4]/D    81.489        
LED_FADER0/out_reg[0]/C        LED_FADER0/out_reg[0]/D        81.615        
LED_FADER0/out_reg[0]/C        LED_FADER0/out_reg[2]/D        81.625        
LED_FADER0/out_reg[0]/C        LED_FADER0/out_reg[1]/D        81.635        
LED_FADER0/out_reg[0]/C        LED_FADER0/out_reg[3]/D        81.641        
PULSE_100Hz/counter_reg[1]/C   PULSE_100Hz/counter_reg[3]/D   81.645        
PULSE_10Hz/counter_reg[1]/C    PULSE_10Hz/counter_reg[3]/D    81.647        
PULSE_100Hz/counter_reg[1]/C   PULSE_100Hz/counter_reg[2]/D   81.705        
PULSE_10Hz/counter_reg[1]/C    PULSE_10Hz/counter_reg[2]/D    81.707        
LED_FADER0/out_reg[1]/C        LED_FADER0/state_reg/D         81.789        
LED_FADER/out_reg[0]/C         LED_FADER/state_reg/D          81.841        
LED_FADER/out_reg[0]/C         LED_FADER/out_reg[3]/D         81.845        
PULSE_10Hz/counter_reg[0]/C    PULSE_10Hz/counter_reg[1]/D    81.847        
PULSE_100Hz/counter_reg[0]/C   PULSE_100Hz/counter_reg[1]/D   81.848        
PWM_LED0/counter_reg[1]/C      PWM_LED0/counter_reg[1]/D      81.886        
LED_FADER/out_reg[1]/C         LED_FADER/out_reg[1]/D         81.910        
LED_FADER/out_reg[1]/C         LED_FADER/out_reg[2]/D         81.928        
PULSE_10Hz/counter_reg[0]/C    PULSE_10Hz/counter_reg[0]/D    82.024        
PULSE_100Hz/counter_reg[0]/C   PULSE_100Hz/counter_reg[0]/D   82.025        
LED_FADER/out_reg[0]/C         LED_FADER/out_reg[0]/D         82.057        
PWM_LED0/counter_reg[0]/C      PWM_LED0/counter_reg[0]/D      82.058        
PULSE_10Hz/out_reg/C           LED_FADER0/out_reg[0]/CE       82.253        
PULSE_10Hz/out_reg/C           LED_FADER0/out_reg[1]/CE       82.253        
PULSE_10Hz/out_reg/C           LED_FADER0/out_reg[2]/CE       82.253        
PULSE_10Hz/out_reg/C           LED_FADER0/out_reg[3]/CE       82.253        



